Assay Catagories	CARMEN-Annotations	DeepSEA	DeepSEA-Downsampling
DNA Accessibility	0.888539123	0.925775814	0.909386167
DNA Accessibility	0.911051354	0.928321024	0.894561451
DNA Accessibility	0.920668841	0.917159302	0.91101653
DNA Accessibility	0.92175057	0.901924575	0.929830371
DNA Accessibility	1	0.955102255	0.9230505
DNA Accessibility	0.949589841	0.908234784	0.928757891
DNA Accessibility	0.999994662	0.944668102	0.916299768
DNA Accessibility	0.999998857	0.936719544	0.9249051
DNA Accessibility	0.999999113	0.936543989	0.897550812
DNA Accessibility	0.99999583	0.935139243	0.905583889
DNA Accessibility	0.999999091	0.934864808	0.8817464
DNA Accessibility	0.999994908	0.933486188	0.926231209
DNA Accessibility	1	0.932838333	0.924780951
DNA Accessibility	0.999999997	0.931840242	0.899917065
DNA Accessibility	0.999997908	0.931549681	0.918075211
DNA Accessibility	0.99999564	0.931345077	0.945310775
DNA Accessibility	0.999999187	0.930726524	0.903816715
DNA Accessibility	0.999994958	0.930558584	0.906876349
DNA Accessibility	0.999999968	0.930299369	0.862378372
DNA Accessibility	1	0.929924195	0.848018091
DNA Accessibility	1	0.929741168	0.926698855
DNA Accessibility	0.99999317	0.929469519	0.92353053
DNA Accessibility	1	0.929426226	0.887978363
DNA Accessibility	1	0.92867733	0.881957452
DNA Accessibility	1	0.928486887	0.921793025
DNA Accessibility	0.999997267	0.928060187	0.927183865
DNA Accessibility	0.999997039	0.927775855	0.930196878
DNA Accessibility	0.989365285	0.927696294	0.926509776
DNA Accessibility	1	0.927649399	0.924549589
DNA Accessibility	1	0.927615841	0.932180507
DNA Accessibility	0.999997852	0.927589775	0.925078819
DNA Accessibility	1	0.927537478	0.913467126
DNA Accessibility	0.999998886	0.927300707	0.9229838
DNA Accessibility	0.999997278	0.927061464	0.954214229
DNA Accessibility	0.942875824	0.910351436	0.927111987
DNA Accessibility	0.999993288	0.92657588	0.891060904
DNA Accessibility	1	0.926365566	0.922577375
DNA Accessibility	0.999992194	0.926360134	0.879384234
DNA Accessibility	0.999996468	0.926037247	0.917685915
DNA Accessibility	1	0.925107353	0.877394682
DNA Accessibility	0.999984698	0.924899556	0.910009778
DNA Accessibility	0.99999185	0.924769549	0.905573701
DNA Accessibility	0.999984006	0.924307003	0.905264427
DNA Accessibility	0.99999863	0.922875567	0.901061006
DNA Accessibility	1	0.921872672	0.874168869
DNA Accessibility	0.999993262	0.921549587	0.885389701
DNA Accessibility	0.999996191	0.921345216	0.912483849
DNA Accessibility	0.999997524	0.920136522	0.862353012
DNA Accessibility	0.999997344	0.919644463	0.898263279
DNA Accessibility	0.999992873	0.918760062	0.916403117
DNA Accessibility	1	0.917940255	0.912938742
DNA Accessibility	0.999994264	0.915536905	0.925314327
DNA Accessibility	1	0.914313099	0.925454788
DNA Accessibility	1	0.914142019	0.925467031
DNA Accessibility	0.99999589	0.913599259	0.928450585
DNA Accessibility	0.999998045	0.913575694	0.930575321
DNA Accessibility	1	0.913226233	0.928441649
DNA Accessibility	0.999994305	0.913134552	0.917257611
DNA Accessibility	0.999997509	0.912435909	0.923939911
DNA Accessibility	0.999995475	0.911713274	0.910998114
DNA Accessibility	0.999994741	0.911536646	0.905665598
DNA Accessibility	0.999996619	0.910142935	0.937487447
DNA Accessibility	0.999994681	0.909168997	0.925094646
DNA Accessibility	1	0.908114925	0.925978965
DNA Accessibility	0.999990619	0.907026954	0.926461077
DNA Accessibility	0.999054647	0.906442429	0.922830255
DNA Accessibility	1	0.906091046	0.932566248
DNA Accessibility	1	0.905654384	0.926044398
DNA Accessibility	0.999997977	0.905005703	0.920453996
DNA Accessibility	0.999994694	0.903535042	0.908224034
DNA Accessibility	0.999997805	0.902955171	0.912265105
DNA Accessibility	0.999991154	0.89967126	0.918265978
DNA Accessibility	0.999997828	0.896293207	0.934041627
DNA Accessibility	0.999993751	0.895268982	0.929968957
DNA Accessibility	0.999998766	0.88951898	0.927039219
DNA Accessibility	0.999993971	0.887666733	0.924754534
DNA Accessibility	1	0.884814335	0.904279125
DNA Accessibility	0.999993253	0.883021602	0.930802214
DNA Accessibility	0.999992935	0.881975064	0.909708153
DNA Accessibility	0.999997072	0.881399822	0.932102263
DNA Accessibility	0.999998964	0.879333841	0.881347215
DNA Accessibility	0.999993614	0.875751559	0.904752851
DNA Accessibility	0.999998479	0.865216236	0.910967106
DNA Accessibility	0.999997242	0.864042242	0.909911625
DNA Accessibility	0.999994397	0.849303246	0.924999836
Transcription Factor Binding	0.889731984	0.951982546	0.978061117
Transcription Factor Binding	0.863734339	0.916828143	0.976512656
Transcription Factor Binding	0.898804926	0.951292087	0.910698225
Transcription Factor Binding	0.919081007	0.972015609	0.947546052
Transcription Factor Binding	0.94157178	0.987773364	0.97651715
Transcription Factor Binding	0.921190483	0.965512702	0.965957865
Transcription Factor Binding	0.938387864	0.977847001	0.963489794
Transcription Factor Binding	0.867868058	0.907017758	0.811404463
Transcription Factor Binding	0.951339197	0.987640089	0.98303865
Transcription Factor Binding	0.950529153	0.983965801	0.948958628
Transcription Factor Binding	0.919003308	0.952215035	0.971689554
Transcription Factor Binding	0.931150498	0.963741275	0.963727529
Transcription Factor Binding	0.897756001	0.933816856	0.943672144
Transcription Factor Binding	0.856208709	0.888391109	0.983875302
Transcription Factor Binding	0.87660436	0.911616503	0.983212017
Transcription Factor Binding	0.942287394	0.969481667	0.961769493
Transcription Factor Binding	0.889689895	0.915923306	0.983507411
Transcription Factor Binding	0.970003932	0.993560086	0.974535147
Transcription Factor Binding	0.95953117	0.982639769	0.985065484
Transcription Factor Binding	0.971792808	0.993792069	0.980703242
Transcription Factor Binding	0.903065267	0.923745016	0.974112227
Transcription Factor Binding	0.863622136	0.886828058	0.96321972
Transcription Factor Binding	0.940177934	0.958878363	0.912661158
Transcription Factor Binding	0.938653831	0.958378312	0.867721594
Transcription Factor Binding	0.956269896	0.974710131	0.98713236
Transcription Factor Binding	0.959213047	0.975478372	0.937901068
Transcription Factor Binding	0.981171286	0.997287365	0.941051192
Transcription Factor Binding	0.930048742	0.947187055	0.933033683
Transcription Factor Binding	0.971872871	0.985680664	0.892456498
Transcription Factor Binding	0.971661951	0.98363375	0.94013508
Transcription Factor Binding	0.969660086	0.980597414	0.959193685
