Assay Categories	DeepSEA Testing Data	CARMEN Testing Data
DNA Accessibility	0.88590927	0.950942681
DNA Accessibility	0.895093741	0.912618165
DNA Accessibility	0.89176285	0.944220933
DNA Accessibility	0.895352168	0.92214754
DNA Accessibility	0.894276344	0.931036761
DNA Accessibility	0.884759342	0.942962523
DNA Accessibility	0.905788478	0.932651457
DNA Accessibility	0.94894798	0.921438833
DNA Accessibility	0.891777763	0.896906108
DNA Accessibility	0.89443075	0.837853202
DNA Accessibility	0.913662864	0.855503593
DNA Accessibility	0.859104486	0.857110518
DNA Accessibility	0.861820756	0.906447617
DNA Accessibility	0.880981211	0.905438152
DNA Accessibility	0.895031874	0.954171679
DNA Accessibility	0.892377165	0.896098769
DNA Accessibility	0.894348016	0.932030242
DNA Accessibility	0.857870041	0.967802175
DNA Accessibility	0.907105765	0.965846782
DNA Accessibility	0.881013116	0.935576137
DNA Accessibility	0.902847741	0.928084483
DNA Accessibility	0.890410682	0.943916426
DNA Accessibility	0.892447745	0.886729382
DNA Accessibility	0.89887162	0.922987246
DNA Accessibility	0.893088929	0.949523223
DNA Accessibility	0.887748514	0.88924799
DNA Accessibility	0.893329932	0.915250586
DNA Accessibility	0.900229971	0.920387614
DNA Accessibility	0.887013035	0.893737646
DNA Accessibility	0.890467126	0.941239085
DNA Accessibility	0.89179954	0.952515067
DNA Accessibility	0.85211493	0.940750597
DNA Accessibility	0.835949136	0.870593384
DNA Accessibility	0.877007429	0.955078798
DNA Accessibility	0.855572513	0.772152891
DNA Accessibility	0.901429774	0.945829331
DNA Accessibility	0.899364306	0.948934939
DNA Accessibility	0.889789975	0.966779487
DNA Accessibility	0.889178572	0.951623663
DNA Accessibility	0.89240159	0.950549629
DNA Accessibility	0.866669279	0.952670374
DNA Accessibility	0.902014588	0.934242575
DNA Accessibility	0.894481518	0.866644405
DNA Accessibility	0.881200396	0.937085748
DNA Accessibility	0.86386309	0.929230575
DNA Accessibility	0.837860473	0.879794441
DNA Accessibility	0.889239055	0.984929078
DNA Accessibility	0.825721834	0.857800944
DNA Accessibility	0.894689775	0.889658636
DNA Accessibility	0.88076952	0.951852994
DNA Accessibility	0.873788102	0.928092577
DNA Accessibility	0.89700891	0.997530864
DNA Accessibility	0.883939136	0.957456834
DNA Accessibility	0.870910715	0.983202815
DNA Accessibility	0.885242855	0.996
DNA Accessibility	0.931198132	0.907234304
DNA Accessibility	0.88833909	0.976549481
DNA Accessibility	0.895896005	0.977893156
DNA Accessibility	0.893471653	0.936588556
DNA Accessibility	0.871205103	0.768344711
DNA Accessibility	0.884339922	0.956175149
DNA Accessibility	0.887421395	0.910374024
DNA Accessibility	0.86715011	0.923550018
DNA Accessibility	0.876842494	0.886058012
DNA Accessibility	0.845630824	0.912933447
DNA Accessibility	0.862912229	0.910653408
DNA Accessibility	0.844089425	0.908993043
DNA Accessibility	0.891768397	0.958224949
DNA Accessibility	0.890366927	0.954950845
DNA Accessibility	0.903142383	0.949754046
DNA Accessibility	0.808873282	0.754311398
DNA Accessibility	0.844774818	0.914938839
DNA Accessibility	0.894145049	0.915408192
DNA Accessibility	0.892241471	0.948045492
DNA Accessibility	0.897345816	0.98522684
DNA Accessibility	0.878829455	0.904237916
DNA Accessibility	0.890951168	0.757582291
DNA Accessibility	0.845412546	0.913300672
DNA Accessibility	0.857696298	0.887451319
DNA Accessibility	0.835815707	0.860577202
DNA Accessibility	0.845070046	0.870819035
DNA Accessibility	0.888498532	0.903848638
DNA Accessibility	0.916097097	0.951434971
DNA Accessibility	0.878377233	0.949932146
DNA Accessibility	0.889204669	0.951187124
Transcription Factor Binding	0.920590755	0.955742832
Transcription Factor Binding	0.855253081	0.966250671
Transcription Factor Binding	0.996744387	0.967189664
Transcription Factor Binding	0.932941411	0.973736236
Transcription Factor Binding	0.908028017	0.989447027
Transcription Factor Binding	0.895501617	0.961540763
Transcription Factor Binding	0.855156549	0.957331406
Transcription Factor Binding	0.928615414	0.833227393
Transcription Factor Binding	0.827633508	0.941927949
Transcription Factor Binding	0.954862506	0.957498497
Transcription Factor Binding	0.941384016	0.967950397
Transcription Factor Binding	0.795582112	0.811703468
Transcription Factor Binding	0.722039421	0.829513153
Transcription Factor Binding	0.809089726	0.965442839
Transcription Factor Binding	0.926937381	0.970698725
Transcription Factor Binding	0.726776069	0.67984096
