Assay Categories	DeepSEA Testing Data	CARMEN Testing Data
DNA Accessibility	0.317582792	0.9568656
DNA Accessibility	0.397283284	0.906611585
DNA Accessibility	0.381204556	0.943005506
DNA Accessibility	0.390798751	0.919652085
DNA Accessibility	0.392178143	0.926309491
DNA Accessibility	0.398813112	0.944620327
DNA Accessibility	0.463101426	0.937012705
DNA Accessibility	0.358500331	0.924996007
DNA Accessibility	0.377799178	0.888457742
DNA Accessibility	0.405157347	0.830051411
DNA Accessibility	0.371841472	0.857919625
DNA Accessibility	0.281574014	0.874057371
DNA Accessibility	0.236489386	0.902622141
DNA Accessibility	0.392969795	0.899834546
DNA Accessibility	0.330557636	0.953427838
DNA Accessibility	0.342581658	0.891900121
DNA Accessibility	0.354604608	0.929445996
DNA Accessibility	0.33740284	0.968899927
DNA Accessibility	0.414390381	0.966468289
DNA Accessibility	0.359409553	0.934594192
DNA Accessibility	0.415473193	0.925146196
DNA Accessibility	0.324899917	0.939156588
DNA Accessibility	0.3415561	0.878523953
DNA Accessibility	0.411838567	0.921143526
DNA Accessibility	0.38257486	0.948224289
DNA Accessibility	0.348492478	0.877778391
DNA Accessibility	0.40348319	0.911259179
DNA Accessibility	0.376731537	0.913717966
DNA Accessibility	0.364050272	0.891815447
DNA Accessibility	0.371105862	0.936476093
DNA Accessibility	0.347312164	0.949546382
DNA Accessibility	0.303939957	0.944713601
DNA Accessibility	0.212727399	0.876123962
DNA Accessibility	0.303547114	0.952202437
DNA Accessibility	0.310699663	0.773925131
DNA Accessibility	0.324285421	0.939325076
DNA Accessibility	0.295070847	0.942592161
DNA Accessibility	0.301753328	0.967677544
DNA Accessibility	0.307199303	0.947325406
DNA Accessibility	0.303571421	0.947949909
DNA Accessibility	0.28466863	0.950247624
DNA Accessibility	0.415830121	0.930032893
DNA Accessibility	0.417369474	0.838458655
DNA Accessibility	0.366520716	0.945161757
DNA Accessibility	0.281375315	0.933147162
DNA Accessibility	0.320054396	0.881271925
DNA Accessibility	0.334837294	0.984434081
DNA Accessibility	0.19398862	0.842019125
DNA Accessibility	0.375261489	0.884120209
DNA Accessibility	0.393036911	0.951257258
DNA Accessibility	0.33049539	0.938607985
DNA Accessibility	0.326114456	0.997776542
DNA Accessibility	0.306115386	0.957999179
DNA Accessibility	0.307301212	0.983941796
DNA Accessibility	0.322570038	0.996752796
DNA Accessibility	0.420887463	0.895189446
DNA Accessibility	0.336782733	0.976902012
DNA Accessibility	0.352614315	0.975107004
DNA Accessibility	0.381042832	0.935994309
DNA Accessibility	0.339373658	0.772659724
DNA Accessibility	0.383255611	0.958020549
DNA Accessibility	0.324757384	0.905881338
DNA Accessibility	0.382091091	0.926724773
DNA Accessibility	0.337400359	0.878708817
DNA Accessibility	0.375582444	0.915545038
DNA Accessibility	0.356474638	0.90935096
DNA Accessibility	0.25593737	0.909015438
DNA Accessibility	0.444913558	0.959881636
DNA Accessibility	0.419054402	0.952593624
DNA Accessibility	0.415292921	0.942821428
DNA Accessibility	0.263032588	0.743297675
DNA Accessibility	0.302546023	0.919767155
DNA Accessibility	0.396898854	0.903799671
DNA Accessibility	0.39255976	0.943236368
DNA Accessibility	0.376500822	0.985048657
DNA Accessibility	0.407811606	0.904822464
DNA Accessibility	0.339684075	0.768659197
