Profile Categories	AUC
DNA Accessibility	0.918967859
DNA Accessibility	0.922666667
DNA Accessibility	0.942912269
DNA Accessibility	0.948611111
DNA Accessibility	0.960248447
DNA Accessibility	0.975308642
DNA Accessibility	0.983682841
DNA Accessibility	0.985399216
DNA Accessibility	0.991307304
DNA Accessibility	0.99997545
DNA Accessibility	0.999978267
DNA Accessibility	0.999984209
DNA Accessibility	0.999977649
DNA Accessibility	0.999993539
DNA Accessibility	0.999993679
DNA Accessibility	0.999991179
DNA Accessibility	0.999977524
DNA Accessibility	0.999989538
DNA Accessibility	0.999987411
DNA Accessibility	0.999992511
DNA Accessibility	0.999987643
DNA Accessibility	0.99998782
DNA Accessibility	0.999988167
DNA Accessibility	0.999980241
DNA Accessibility	0.999980988
DNA Accessibility	0.99998679
DNA Accessibility	0.999996719
DNA Accessibility	1
DNA Accessibility	0.999993241
DNA Accessibility	0.999985587
DNA Accessibility	1
DNA Accessibility	0.999978465
DNA Accessibility	1
DNA Accessibility	0.999987879
DNA Accessibility	0.999983731
DNA Accessibility	0.999993233
DNA Accessibility	0.999989257
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999969248
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999990257
DNA Accessibility	0.999995364
DNA Accessibility	1
DNA Accessibility	0.999984246
DNA Accessibility	0.999987274
DNA Accessibility	0.999986178
DNA Accessibility	0.999992321
DNA Accessibility	1
DNA Accessibility	0.999984697
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999979364
DNA Accessibility	0.999989558
DNA Accessibility	0.999986683
DNA Accessibility	1
DNA Accessibility	0.999995518
DNA Accessibility	1
DNA Accessibility	0.999987996
DNA Accessibility	0.999980183
DNA Accessibility	0.999986807
DNA Accessibility	0.999996903
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999995306
DNA Accessibility	0.999991105
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999984722
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999988183
DNA Accessibility	0.99998185
DNA Accessibility	0.999974721
DNA Accessibility	0.999989602
DNA Accessibility	1
DNA Accessibility	0.999976146
DNA Accessibility	1
DNA Accessibility	0.999985279
DNA Accessibility	0.999973402
DNA Accessibility	1
DNA Accessibility	0.999985743
DNA Accessibility	0.999988447
DNA Accessibility	0.999988199
DNA Accessibility	0.999982738
DNA Accessibility	1
DNA Accessibility	0.999983718
DNA Accessibility	0.999986742
DNA Accessibility	0.999994909
DNA Accessibility	0.999989262
DNA Accessibility	0.999985774
DNA Accessibility	1
DNA Accessibility	0.999969616
DNA Accessibility	0.999988493
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999989154
DNA Accessibility	0.999992908
DNA Accessibility	0.999994387
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999992366
DNA Accessibility	0.999989365
DNA Accessibility	0.999982133
DNA Accessibility	0.999989346
DNA Accessibility	0.999993646
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.99999101
DNA Accessibility	0.999986522
DNA Accessibility	0.999994047
DNA Accessibility	0.99999306
DNA Accessibility	0.999975842
DNA Accessibility	0.999984175
DNA Accessibility	0.999996413
DNA Accessibility	1
DNA Accessibility	0.999989106
DNA Accessibility	0.999997609
DNA Accessibility	0.999982687
DNA Accessibility	0.999946957
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999980888
DNA Accessibility	0.999986893
DNA Accessibility	1
DNA Accessibility	0.999975078
DNA Accessibility	0.999981946
DNA Accessibility	0.999992331
DNA Accessibility	0.99999329
DNA Accessibility	0.999992498
DNA Accessibility	0.999969671
DNA Accessibility	0.999994921
DNA Accessibility	0.99999502
DNA Accessibility	1
DNA Accessibility	0.999990342
DNA Accessibility	0.999993314
DNA Accessibility	0.999996366
DNA Accessibility	0.999986957
DNA Accessibility	1
DNA Accessibility	0.999981678
DNA Accessibility	1
DNA Accessibility	0.999988497
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999988981
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999995125
DNA Accessibility	0.999991464
DNA Accessibility	0.999991545
DNA Accessibility	0.999980987
DNA Accessibility	0.999973035
DNA Accessibility	0.999994284
DNA Accessibility	1
DNA Accessibility	0.999987672
DNA Accessibility	0.999982442
DNA Accessibility	1
DNA Accessibility	0.999969248
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999994928
DNA Accessibility	0.999988537
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999987398
DNA Accessibility	1
DNA Accessibility	0.999950407
DNA Accessibility	0.99998888
DNA Accessibility	0.999995402
DNA Accessibility	0.999981112
DNA Accessibility	1
DNA Accessibility	0.999993549
DNA Accessibility	0.999987664
DNA Accessibility	0.999995946
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999982982
DNA Accessibility	0.999989104
DNA Accessibility	1
DNA Accessibility	0.999992295
DNA Accessibility	0.999984942
DNA Accessibility	1
DNA Accessibility	0.99999108
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999995256
DNA Accessibility	0.999984807
DNA Accessibility	0.999994942
DNA Accessibility	0.999981253
DNA Accessibility	0.999987554
DNA Accessibility	0.999994556
DNA Accessibility	1
DNA Accessibility	0.999993093
DNA Accessibility	1
DNA Accessibility	0.999981585
DNA Accessibility	0.999994422
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999986961
DNA Accessibility	1
DNA Accessibility	0.999992238
DNA Accessibility	1
DNA Accessibility	0.999993354
DNA Accessibility	1
DNA Accessibility	0.99999232
DNA Accessibility	0.999990793
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999990125
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999992576
DNA Accessibility	0.999979792
DNA Accessibility	1
DNA Accessibility	0.999986323
DNA Accessibility	0.999994071
DNA Accessibility	0.999964251
DNA Accessibility	1
DNA Accessibility	0.999989624
DNA Accessibility	0.999995558
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999985407
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	1
DNA Accessibility	0.999981694
DNA Accessibility	0.999963819
DNA Accessibility	0.99998824
DNA Accessibility	0.999986044
DNA Accessibility	1
DNA Accessibility	0.999976591
DNA Accessibility	1
DNA Accessibility	0.999992592
DNA Accessibility	0.999991437
DNA Accessibility	0.999993146
DNA Accessibility	1
DNA Accessibility	0.999988862
DNA Accessibility	1
DNA Accessibility	0.999986393
DNA Accessibility	0.999983763
DNA Accessibility	0.999980432
DNA Accessibility	0.999985016
DNA Accessibility	0.9999932
DNA Accessibility	1
DNA Accessibility	0.999993423
DNA Accessibility	1
DNA Accessibility	0.99998889
DNA Accessibility	0.999986344
DNA Accessibility	0.999993682
DNA Accessibility	1
DNA Accessibility	0.9999906
DNA Accessibility	0.999988307
DNA Accessibility	0.999994093
DNA Accessibility	0.9999925
DNA Accessibility	0.999988305
DNA Accessibility	0.999992663
DNA Accessibility	0.999973641
DNA Accessibility	0.999979011
DNA Accessibility	0.999988266
DNA Accessibility	1
DNA Accessibility	1
Transcription Factor Binding	0.65207266
Transcription Factor Binding	0.711880805
Transcription Factor Binding	0.81027668
