Feature,Importance
CTCF,0.0619
H3K36me3,0.0386
CHG,0.0354
CHH,0.0323
H3K27me3,0.0254
H3K9me3,0.0232
DNase-seq,0.0204
CpG,0.0185
H3K4me1,0.0138
REST,0.0112
ATF3,0.0101
H3K4me2,0.0101
H3F3A,0.0092
USF2,0.0091
CEBPB,0.0088
H2AFZ,0.0087
H3K27ac,0.0086
H4K20me1,0.0085
phyloP46wayPrimates,0.0083
RFX5,0.0082
H3K79me2,0.0076
GABPA,0.0074
POLR2AphosphoS5,0.007
ATF2,0.007
YY1,0.007
phastCons46wayPrimates,0.0069
RAD21,0.0068
JUNB,0.0067
phyloP46wayPlacental,0.0066
FOXA1,0.0064
FOS,0.0063
H3K4me3,0.0061
GATA2,0.0056
RELB,0.0055
SMC3,0.0054
CBX5,0.0053
NFE2L2,0.0053
EP300,0.0053
RAD51,0.0048
NR2C1,0.0047
FOSL1,0.0045
PKNOX1,0.0044
ATF7,0.0044
MTA2,0.0043
USF1,0.0043
ZBTB33,0.0043
CTBP1,0.0042
NRF1,0.0042
ZNF143,0.0042
GATA3,0.0041
ARID3A,0.0041
NFYB,0.004
ELF1,0.004
phyloP100wayAll,0.0039
ZNF274,0.0039
H2BK5ac,0.0039
MAFK,0.0038
BMI1,0.0037
DDX20,0.0036
MAFF,0.0036
TCF7,0.0036
CUX1,0.0035
KDM1A,0.0035
CREB1,0.0034
RCOR1,0.0034
RNF2,0.0034
FOSL2,0.0033
ESRRA,0.0033
CEBPG,0.0033
HNF4A,0.0033
ZFP64,0.0033
SRF,0.0032
NR2F1,0.0032
JUND,0.0031
ADNP,0.0031
MAZ,0.0031
ZC3H11A,0.003
SPI1,0.003
NBN,0.003
ZNF133,0.003
NFIC,0.003
ZNF140,0.003
ESR1,0.003
NR2C2,0.0029
POLR2A,0.0029
NR3C1,0.0028
ZNF354C,0.0028
ZNF24,0.0028
BACH1,0.0028
ZKSCAN1,0.0028
ZNF680,0.0027
IRF1,0.0027
EZH2,0.0027
NFIB,0.0026
ZNF548,0.0026
SIX4,0.0026
ZNF664,0.0026
H2AK5ac,0.0026
ZBTB7A,0.0025
OH,0.0025
KLF4,0.0025
NFE2,0.0025
TOE1,0.0025
ZNF211,0.0024
EZH2phosphoT487,0.0024
ZNF316,0.0024
ZNF530,0.0024
NFE2L1,0.0024
H3K9ac,0.0023
ARNT,0.0023
BATF,0.0023
KDM5A,0.0023
H3K4ac,0.0023
Inclination,0.0023
JUN,0.0023
ZNF404,0.0022
SP1,0.0022
OSR2,0.0022
ZNF507,0.0022
ZFX,0.0022
ZNF300,0.0022
BHLHE40,0.0021
EGR1,0.0021
ZNF146,0.0021
TEAD2,0.0021
CBX3,0.0021
ZSCAN16,0.002
ZSCAN21,0.002
GATAD2B,0.002
ZNF263,0.002
ZNF266,0.002
ELK1,0.002
NFXL1,0.002
SP5,0.002
PTBP1,0.002
PBX2,0.002
ZMYM3,0.002
NFRKB,0.0019
ZNF132,0.0019
C11orf30,0.0019
PTTG1,0.0019
BCL6B,0.0019
RFX3_isoform1,0.0019
STAT3,0.0019
H4K8ac,0.0019
TRIM22,0.0019
FEZF1,0.0018
TBP,0.0018
HCFC1,0.0018
SIN3A,0.0018
HMBOX1,0.0018
TRIM24,0.0018
ZNF16,0.0018
FOXA2,0.0018
ZNF112,0.0018
MYC,0.0018
KAT8,0.0018
RBAK,0.0018
BRCA1,0.0018
ZNF26,0.0018
CREM,0.0017
ZNF34,0.0017
SUZ12,0.0017
ZNF248,0.0017
ZNF623,0.0017
POU5F1,0.0017
CEBPZ,0.0017
RFX3,0.0017
TAL1,0.0016
PRDM10,0.0016
ZFP1_isoform1,0.0016
RXRA,0.0016
KHSRP,0.0016
ZNF707,0.0016
ZIK1,0.0016
KDM6A,0.0016
TAF1,0.0015
SCRT1,0.0015
ZNF318,0.0015
ZNF217,0.0015
SIX5,0.0015
ZNF514,0.0015
ZNF384,0.0015
ZBTB5,0.0015
ZEB2,0.0015
THRA,0.0015
ZFHX2,0.0015
VEZF1,0.0014
U2AF2,0.0014
HNRNPUL1,0.0014
HIC1,0.0014
GLIS2,0.0014
IRF4,0.0014
TBX3,0.0014
FOXP2,0.0014
WT1,0.0014
H4K91ac,0.0014
CREB3,0.0014
SOX5,0.0014
H2BK120ac,0.0014
SP2,0.0014
EBF1,0.0014
SREBF1,0.0014
ZNF10,0.0014
HLF,0.0014
H3K9me1,0.0013
ZFP37,0.0013
HMG20B,0.0013
GABP,0.0013
MEF2C,0.0013
MNT,0.0013
CHD2,0.0013
MYBL2,0.0013
NFIA_isoform1,0.0013
ZBTB7B,0.0013
ZNF101,0.0013
ZNF407,0.0012
Tilt_shift,0.0012
ZNF366,0.0012
ETV1,0.0012
ZBTB26,0.0012
ATM,0.0012
ZNF7,0.0012
CBFA2T3,0.0012
NCOR1,0.0012
HES1,0.0012
NKRF,0.0012
RARA,0.0012
ARID2,0.0012
NANOG,0.0012
FOXK2,0.0012
SCRT2,0.0012
GATAD2A,0.0012
PRDM1,0.0012
DRAP1,0.0012
SMARCA4,0.0012
