Assay Catagories	CARMEN-Annotations	DeepSEA	DeepSEA-Downsampling
DNA Accessibility	0.881906379	0.449449121	0.904112353
DNA Accessibility	0.873064315	0.424843126	0.88635497
DNA Accessibility	0.921423517	0.416617944	0.907174187
DNA Accessibility	0.906324867	0.397258391	0.92459889
DNA Accessibility	1	0.441172511	0.916089123
DNA Accessibility	0.950874254	0.422783234	0.926306384
DNA Accessibility	0.999994647	0.507320819	0.911902043
DNA Accessibility	0.999998858	0.459471994	0.920183006
DNA Accessibility	0.999999113	0.529311022	0.894164858
DNA Accessibility	0.999995832	0.490665334	0.906205085
DNA Accessibility	0.999999092	0.542892523	0.875919742
DNA Accessibility	0.999994908	0.527559655	0.919950794
DNA Accessibility	1	0.520588954	0.922886172
DNA Accessibility	0.999999997	0.491355596	0.896979335
DNA Accessibility	0.999997898	0.495631757	0.913236509
DNA Accessibility	0.999995624	0.495684901	0.938866407
DNA Accessibility	0.999999188	0.507575814	0.90401833
DNA Accessibility	0.999994967	0.45395842	0.906021424
DNA Accessibility	0.999999968	0.458221817	0.861056172
DNA Accessibility	1	0.529143307	0.848066115
DNA Accessibility	1	0.4204481	0.9217535
DNA Accessibility	0.999993172	0.495959456	0.917323473
DNA Accessibility	1	0.482795648	0.888331372
DNA Accessibility	1	0.43147693	0.882556404
DNA Accessibility	1	0.488684149	0.919387654
DNA Accessibility	0.999997274	0.482309333	0.918678724
DNA Accessibility	0.999997026	0.435565133	0.922566337
DNA Accessibility	0.98939719	0.474317289	0.919544297
DNA Accessibility	1	0.462444705	0.91657662
DNA Accessibility	1	0.416644371	0.924870335
DNA Accessibility	0.999997859	0.514184177	0.918336177
DNA Accessibility	1	0.44867362	0.910005155
DNA Accessibility	0.999998891	0.447921376	0.913536518
DNA Accessibility	0.999997283	0.502130991	0.948717039
DNA Accessibility	0.944776229	0.401035205	0.925243729
DNA Accessibility	0.999993301	0.490429837	0.886278869
DNA Accessibility	1	0.458018418	0.915398657
DNA Accessibility	0.999992247	0.409811899	0.878154477
DNA Accessibility	0.999996474	0.439866947	0.913685575
DNA Accessibility	1	0.487610951	0.873742073
DNA Accessibility	0.99998469	0.428793003	0.903893642
DNA Accessibility	0.999991914	0.417224534	0.898877588
DNA Accessibility	0.999984094	0.39331473	0.902499615
DNA Accessibility	0.999998633	0.497711215	0.897743007
DNA Accessibility	1	0.449818841	0.872430243
DNA Accessibility	0.999993255	0.461834595	0.882082087
DNA Accessibility	0.999996196	0.484339109	0.907032394
DNA Accessibility	0.999997529	0.497146354	0.858386773
DNA Accessibility	0.999997335	0.467314818	0.89507362
DNA Accessibility	0.999992876	0.410020389	0.911772687
DNA Accessibility	1	0.416221703	0.907012457
DNA Accessibility	0.99999426	0.491235317	0.918823008
DNA Accessibility	1	0.483104908	0.917237107
DNA Accessibility	1	0.466967577	0.91967125
DNA Accessibility	0.999995873	0.459551328	0.921413455
DNA Accessibility	0.999998039	0.427763727	0.924232543
DNA Accessibility	1	0.45571376	0.923131159
DNA Accessibility	0.999994309	0.447879257	0.910770577
DNA Accessibility	0.999997516	0.442912346	0.925866635
DNA Accessibility	0.999995511	0.515727527	0.904816231
DNA Accessibility	0.999994697	0.443786552	0.903487876
DNA Accessibility	0.999996611	0.421472672	0.931223213
DNA Accessibility	0.999994693	0.420474817	0.921485048
DNA Accessibility	1	0.421661627	0.922479062
DNA Accessibility	0.999990636	0.491459813	0.920140743
DNA Accessibility	0.998914129	0.41682569	0.919022091
DNA Accessibility	1	0.39535537	0.926917015
DNA Accessibility	1	0.443267005	0.919741515
DNA Accessibility	0.999997941	0.329197375	0.9146908
DNA Accessibility	0.999994683	0.431074911	0.90590939
DNA Accessibility	0.999997802	0.32552483	0.904113695
DNA Accessibility	0.999991248	0.387250006	0.917714515
DNA Accessibility	0.99999784	0.320603024	0.929308634
DNA Accessibility	0.999993731	0.40325851	0.921840972
DNA Accessibility	0.999998769	0.370558999	0.919438327
DNA Accessibility	0.999993948	0.412580771	0.922117422
DNA Accessibility	1	0.371040657	0.907429667
DNA Accessibility	0.999993225	0.370632525	0.925560141
DNA Accessibility	0.999992928	0.285410849	0.906673522
DNA Accessibility	0.999997075	0.413144816	0.926734983
DNA Accessibility	0.999998959	0.448756389	0.879889142
DNA Accessibility	0.999993567	0.41555039	0.903906588
DNA Accessibility	0.999998481	0.358180558	0.909114253
DNA Accessibility	0.999997259	0.315678574	0.904476881
DNA Accessibility	0.999994394	0.35031379	0.917124163
Transcription Factor Binding	0.89699039	0.116570326	0.977313785
Transcription Factor Binding	0.870714739	0.136589392	0.974325452
Transcription Factor Binding	0.901219067	0.569183278	0.901370415
Transcription Factor Binding	0.935847526	0.507230815	0.942985859
Transcription Factor Binding	0.954773971	0.561250424	0.973343723
Transcription Factor Binding	0.920088469	0.319972674	0.962277119
Transcription Factor Binding	0.935169355	0.067296355	0.962083231
Transcription Factor Binding	0.888734327	0.239514344	0.799503428
Transcription Factor Binding	0.959686847	0.519737292	0.980613715
Transcription Factor Binding	0.954770131	0.343840534	0.937890626
Transcription Factor Binding	0.915004256	0.101916758	0.968625175
Transcription Factor Binding	0.937579843	0.441667998	0.960440412
Transcription Factor Binding	0.904312582	0.187498156	0.93505651
Transcription Factor Binding	0.873619231	0.070552984	0.97154846
Transcription Factor Binding	0.874638489	0.086468514	0.98184425
Transcription Factor Binding	0.942081618	0.06732068	0.961992632
Transcription Factor Binding	0.900775252	0.261466394	0.979286266
Transcription Factor Binding	0.975997244	0.363344814	0.972518975
Transcription Factor Binding	0.963277213	0.616354426	0.980791098
Transcription Factor Binding	0.97588079	0.579176704	0.979067291
Transcription Factor Binding	0.903949424	0.133470688	0.968000249
Transcription Factor Binding	0.866599418	0.083458953	0.96211473
Transcription Factor Binding	0.944746851	0.434422018	0.911642264
Transcription Factor Binding	0.940009853	0.137324432	0.86840928
Transcription Factor Binding	0.952402139	0.259857831	0.984527023
Transcription Factor Binding	0.955097268	0.023236729	0.940859586
Transcription Factor Binding	0.98065389	0.057531014	0.947144379
Transcription Factor Binding	0.937515818	0.189782203	0.927929485
Transcription Factor Binding	0.969969051	0.314445841	0.874838957
Transcription Factor Binding	0.975079808	0.692781409	0.942025874
Transcription Factor Binding	0.9753303	0.655867401	0.962151012
Transcription Factor Binding	0.951992468	0.062248296	0.964224582
Transcription Factor Binding	0.937669961	0.047332288	0.883854258
Transcription Factor Binding	0.977295336	0.256840964	0.944851155
Transcription Factor Binding	0.983451077	0.47320221	0.947231986
Transcription Factor Binding	0.985430437	0.398325843	0.871259272
Transcription Factor Binding	0.968500699	0.250058016	0.943626692
Transcription Factor Binding	0.97351128	0.369479218	0.90952723
Transcription Factor Binding	0.939285942	0.245929557	0.894518383
Transcription Factor Binding	0.921692746	0.476835462	0.91928336
Transcription Factor Binding	0.907331768	0.046888259	0.925037279
Transcription Factor Binding	0.937394464	0.506956529	0.899518628
Transcription Factor Binding	0.968584395	0.247612361	0.953444671
Transcription Factor Binding	0.985568998	0.351769823	0.912792714
Transcription Factor Binding	0.977310242	0.384366637	0.886548318
Transcription Factor Binding	0.96969941	0.285852519	0.965024343
Transcription Factor Binding	0.991487193	0.39223068	0.98650371
Transcription Factor Binding	0.977083572	0.599036769	0.988494656
Transcription Factor Binding	0.930629612	0.108701375	0.922412155
Transcription Factor Binding	0.952210053	0.038606671	0.910034998
Transcription Factor Binding	0.973973757	0.410909754	0.927883817
Transcription Factor Binding	0.97639612	0.666687625	0.890523621
Transcription Factor Binding	0.969587886	0.479957442	0.891779768
Transcription Factor Binding	0.978048259	0.259787126	0.886691023
Transcription Factor Binding	0.973359454	0.014890315	0.892022044
Transcription Factor Binding	0.97554414	0.16823332	0.927400596
Transcription Factor Binding	0.987391595	0.636186226	0.957521577
Transcription Factor Binding	0.937858464	0.061040106	0.977994248
Transcription Factor Binding	0.967625135	0.199270661	0.907436892
Transcription Factor Binding	0.937257053	0.496939091	0.952826399
Transcription Factor Binding	0.982204264	0.233290982	0.987880807
Transcription Factor Binding	0.983274746	0.119539025	0.926197247
Transcription Factor Binding	0.970189436	0.193527196	0.957952963
Transcription Factor Binding	0.967050175	0.207932397	0.945475215
Transcription Factor Binding	0.9821519	0.63336567	0.982050683
Transcription Factor Binding	0.98878279	0.636841592	0.946990688
Transcription Factor Binding	0.9559724	0.22942054	0.972759471
Transcription Factor Binding	0.981809881	0.424114491	0.97013383
Transcription Factor Binding	0.967785327	0.402978198	0.907279377
Transcription Factor Binding	0.987373108	0.398974681	0.916586793
Transcription Factor Binding	0.955375842	0.405934063	0.913325823
Transcription Factor Binding	0.927332489	0.206561204	0.966877155
Transcription Factor Binding	0.985811916	0.562358359	0.96512969
Transcription Factor Binding	0.991662974	0.417313962	0.95559862
Transcription Factor Binding	0.964732165	0.437363818	0.937343786
Transcription Factor Binding	0.954856384	0.555992645	0.969825108
Transcription Factor Binding	0.949537916	0.50644599	0.948642617
Transcription Factor Binding	0.955444164	0.327204314	0.983356511
Transcription Factor Binding	0.962438868	0.341955613	0.941070701
Transcription Factor Binding	0.933814196	0.44901965	0.948249378
Transcription Factor Binding	0.991405641	0.560677467	0.980928353
Transcription Factor Binding	0.967729069	0.357399886	0.927065695
Transcription Factor Binding	0.986646755	0.188031719	0.960328475
Transcription Factor Binding	0.993400185	0.685641015	0.913011291
Transcription Factor Binding	0.969388789	0.168165199	0.94534751
Transcription Factor Binding	0.994323221	0.662561727	0.971539903
Transcription Factor Binding	0.986344191	0.666103568	0.946873507
Transcription Factor Binding	0.972236532	0.23482385	0.969415946
Transcription Factor Binding	0.954356005	0.169746552	0.935630457
Transcription Factor Binding	0.983231932	0.151908024	0.889612383
Transcription Factor Binding	0.961600305	0.319199042	0.974212997
Transcription Factor Binding	0.984117419	0.701720364	0.965551813
Transcription Factor Binding	0.932644561	0.183418543	0.932102264
Transcription Factor Binding	0.936022321	0.339750603	0.971080321
Transcription Factor Binding	0.979645248	0.375489751	0.951482692
Transcription Factor Binding	0.995763134	0.286065929	0.958909642
Transcription Factor Binding	0.983641248	0.603929775	0.963509976
Transcription Factor Binding	0.949598564	0.337918551	0.978792939
Transcription Factor Binding	0.988512438	0.680653325	0.922853114
Transcription Factor Binding	0.980476165	0.524350276	0.953382412
Transcription Factor Binding	0.987873502	0.581545466	0.986518531
Transcription Factor Binding	0.975680719	0.408982128	0.966814145
Transcription Factor Binding	0.972070835	0.101688541	0.969718644
Transcription Factor Binding	0.9779653	0.334161108	0.967368236
Transcription Factor Binding	0.989629023	0.658750229	0.965827546
Transcription Factor Binding	0.982010483	0.268954965	0.952002675
Transcription Factor Binding	0.987769569	0.271062894	0.936389934
Transcription Factor Binding	0.989990857	0.365995788	0.930125172
Transcription Factor Binding	0.988608655	0.343065473	0.985364886
Transcription Factor Binding	0.995442949	0.451448502	0.92670834
Transcription Factor Binding	0.988802893	0.671930766	0.95662754
Transcription Factor Binding	0.991946844	0.668507997	0.949946869
Transcription Factor Binding	0.975741917	0.253751582	0.949538004
Transcription Factor Binding	0.948595795	0.086352958	0.951615062
Transcription Factor Binding	0.98152057	0.623697105	0.974016913
Transcription Factor Binding	0.981677716	0.439120111	0.93239626
Transcription Factor Binding	0.957346645	0.34089492	0.944709164
Transcription Factor Binding	0.979124466	0.38786816	0.936591883
Transcription Factor Binding	0.969329849	0.359497296	0.983696586
Transcription Factor Binding	0.993294976	0.62561201	0.977187795
Transcription Factor Binding	0.994205954	0.653298776	0.980373972
Transcription Factor Binding	0.979838874	0.670038688	0.969895511
Transcription Factor Binding	0.969183851	0.316126108	0.959816319
Transcription Factor Binding	0.977710286	0.1010819	0.957366463
Transcription Factor Binding	0.983160644	0.323532526	0.954949069
Transcription Factor Binding	0.916520763	0.244935526	0.957957522
Transcription Factor Binding	0.9913367	0.414419378	0.867324396
Transcription Factor Binding	0.991549432	0.652059826	0.941001369
Transcription Factor Binding	0.988958433	0.668114722	0.989538965
Transcription Factor Binding	0.983290662	0.330850711	0.956960026
Transcription Factor Binding	0.994211957	0.510827266	0.922468273
Transcription Factor Binding	0.987951255	0.618273039	0.956387
Transcription Factor Binding	0.984095031	0.336904353	0.972440548
Transcription Factor Binding	0.960157292	0.314508707	0.97295023
Transcription Factor Binding	0.994580303	0.676004187	0.969874262
Transcription Factor Binding	0.99327474	0.387497047	0.952503655
Transcription Factor Binding	0.992178894	0.652062968	0.942759922
Transcription Factor Binding	0.936090153	0.296240611	0.899578368
Transcription Factor Binding	0.981982055	0.336469358	0.909508393
Transcription Factor Binding	0.991628211	0.634155143	0.955113265
Transcription Factor Binding	0.986180398	0.627602995	0.967021108
Transcription Factor Binding	0.92279168	0.219664102	0.99023353
Transcription Factor Binding	0.973134705	0.393814821	0.973234072
Transcription Factor Binding	0.977158201	0.427508176	0.936094468
Transcription Factor Binding	0.988294185	0.662828034	0.971537835
Transcription Factor Binding	0.994586928	0.382890138	0.899037582
Transcription Factor Binding	0.9804746	0.447770877	0.910125986
Transcription Factor Binding	0.964911531	0.592016781	0.988971996
Transcription Factor Binding	0.979211021	0.343938755	0.910086056
Transcription Factor Binding	0.955231371	0.272330031	0.97314533
Transcription Factor Binding	0.982156207	0.16957345	0.980993032
Transcription Factor Binding	0.983002409	0.199586582	0.949204858
Transcription Factor Binding	0.989213116	0.517048001	0.964158707
Transcription Factor Binding	0.95968157	0.065038136	0.952555267
Transcription Factor Binding	0.983328882	0.176653091	0.936861164
Transcription Factor Binding	0.987280567	0.662303243	0.90087448
Transcription Factor Binding	0.979818578	0.369644674	0.942906379
Transcription Factor Binding	0.990613207	0.312274945	0.968097049
Transcription Factor Binding	0.957618671	0.271801884	0.901308007
Transcription Factor Binding	0.970639413	0.486788754	0.843354296
Transcription Factor Binding	0.986669729	0.541052201	0.966095224
Transcription Factor Binding	0.971594346	0.099518641	0.658881845
Transcription Factor Binding	0.959829303	0.346892149	0.987050867
Transcription Factor Binding	0.948764377	0.172165993	0.980474961
Transcription Factor Binding	0.962402631	0.200420457	0.931743969
Transcription Factor Binding	0.960471877	0.365340038	0.999671242
Transcription Factor Binding	0.994876942	0.694650937	0.889647549
Transcription Factor Binding	0.993006336	0.640254626	0.93652495
Transcription Factor Binding	0.970259599	0.182163921	0.968270737
Transcription Factor Binding	0.967464763	0.063504324	0.971309513
Transcription Factor Binding	0.955253679	0.298525668	0.905764328
Transcription Factor Binding	0.911330737	0.146843717	0.962571356
Transcription Factor Binding	0.994247747	0.299125319	0.956007041
Transcription Factor Binding	0.984506239	0.373238786	0.950736214
Transcription Factor Binding	0.993046613	0.295297938	0.937658153
Transcription Factor Binding	0.993987332	0.442158431	0.990424679
Transcription Factor Binding	0.983116823	0.308178883	0.987179304
Transcription Factor Binding	0.991760245	0.37241174	0.957002224
Transcription Factor Binding	0.982382283	0.137657353	0.988372415
Transcription Factor Binding	0.987596357	0.477298299	0.933625664
Transcription Factor Binding	0.918384152	0.166436074	0.930864736
Transcription Factor Binding	0.863556378	0.07536293	0.950586748
Transcription Factor Binding	0.887258516	0.064628207	0.977925967
Transcription Factor Binding	0.971218626	0.362417955	0.924871066
Transcription Factor Binding	0.98311822	0.357373645	0.893555387
Transcription Factor Binding	0.988025599	0.429649369	0.91910485
Transcription Factor Binding	0.960589895	0.317365346	0.911294959
Transcription Factor Binding	0.973345146	0.166833284	0.967578555
Transcription Factor Binding	0.943018485	0.154911658	0.982248033
Transcription Factor Binding	0.976099967	0.392367862	0.909052604
Transcription Factor Binding	0.975944964	0.074739203	0.945551763
Transcription Factor Binding	0.95823481	0.019507405	0.954064495
Transcription Factor Binding	0.980192456	0.283393914	0.959504104
Transcription Factor Binding	0.986479358	0.552740974	0.95789717
Transcription Factor Binding	0.978506472	0.171654051	0.966796776
Transcription Factor Binding	0.983848887	0.368581244	0.958609153
Transcription Factor Binding	0.976035699	0.410596404	0.963828789
Transcription Factor Binding	0.985241246	0.170089868	0.994089597
Transcription Factor Binding	0.965059232	0.287707266	0.856579293
Transcription Factor Binding	0.979595335	0.633888643	0.941237025
Transcription Factor Binding	0.979313258	0.616489623	0.978656027
Transcription Factor Binding	0.973977	0.252178365	0.95685169
Transcription Factor Binding	0.974585004	0.537699453	0.982283841
Transcription Factor Binding	0.979550251	0.206124465	0.956666664
Transcription Factor Binding	0.993235401	0.490545781	0.959812835
Transcription Factor Binding	0.970594169	0.368929975	0.899384285
Transcription Factor Binding	0.978556752	0.255065629	0.91389264
Transcription Factor Binding	0.930126804	0.330666444	0.990146168
Transcription Factor Binding	0.983964829	0.263098431	0.970024461
Transcription Factor Binding	0.974377456	0.403470832	0.970982386
Transcription Factor Binding	0.977732347	0.310147643	0.978480585
Transcription Factor Binding	0.938713514	0.115689223	0.969992993
Transcription Factor Binding	0.987667156	0.377843848	0.971019837
Transcription Factor Binding	0.968130148	0.219940338	0.992952667
Transcription Factor Binding	0.978849278	0.342375513	0.862829554
Transcription Factor Binding	0.989452999	0.508259815	0.908762588
Transcription Factor Binding	0.978889594	0.319338438	0.954907581
Transcription Factor Binding	0.987498	0.329536241	0.880204209
Transcription Factor Binding	0.98139969	0.134097401	0.952451429
Transcription Factor Binding	0.983093671	0.260889374	0.979189179
Transcription Factor Binding	0.971496418	0.363217201	0.964571932
Transcription Factor Binding	0.969100942	0.334758807	0.972007099
Transcription Factor Binding	0.960414691	0.095734894	0.924847015
Transcription Factor Binding	0.967609407	0.284099561	0.958885977
Transcription Factor Binding	0.981574361	0.16126527	0.936959407
Transcription Factor Binding	0.97726882	0.524734993	0.96297357
Transcription Factor Binding	0.969519185	0.176233668	0.97357159
Transcription Factor Binding	0.97283076	0.340830041	0.938572648
Transcription Factor Binding	0.995154897	0.65200596	0.934955988
Transcription Factor Binding	0.963858819	0.343457755	0.986511272
Transcription Factor Binding	0.934816738	0.033995641	0.97973313
Transcription Factor Binding	0.968479076	0.113885729	0.976110123
Transcription Factor Binding	0.963202835	0.233113758	0.961819961
Transcription Factor Binding	0.968850453	0.188253202	0.939513482
Transcription Factor Binding	0.975739362	0.441857904	0.941263761
Transcription Factor Binding	0.95796451	0.154211854	0.937332919
Transcription Factor Binding	0.963861657	0.175851412	0.959233835
Transcription Factor Binding	0.91611485	0.102210765	0.96209037
Transcription Factor Binding	0.910300367	0.020491057	0.962168352
Transcription Factor Binding	0.975006249	0.327925019	0.974187225
Transcription Factor Binding	0.978783375	0.343313263	0.984862738
Transcription Factor Binding	0.97909756	0.252072647	0.986572834
Transcription Factor Binding	0.980608717	0.223907928	0.985396871
Transcription Factor Binding	0.983187649	0.086229424	0.96825899
Transcription Factor Binding	0.9909278	0.491807672	0.96085709
Transcription Factor Binding	0.973663561	0.113209532	0.888741343
Transcription Factor Binding	0.959884527	0.059292708	0.991456676
Transcription Factor Binding	0.983530269	0.267782057	0.889978397
Transcription Factor Binding	0.986408177	0.203260307	0.985302028
Transcription Factor Binding	0.960807841	0.154993066	0.953892518
Transcription Factor Binding	0.944675047	0.478114978	0.938039605
Transcription Factor Binding	0.954364505	0.25546033	0.942467248
Transcription Factor Binding	0.954051687	0.170235017	0.951634982
Transcription Factor Binding	0.948605237	0.146803422	0.935272631
Transcription Factor Binding	0.962157743	0.215423142	0.945250003
Transcription Factor Binding	0.949822656	0.224196813	0.981939554
Transcription Factor Binding	0.973051146	0.360833582	0.952111627
Transcription Factor Binding	0.807253732	0.018678412	0.953507354
Transcription Factor Binding	0.984931493	0.232852643	0.914769078
Transcription Factor Binding	0.94776775	0.232179383	0.953004874
Transcription Factor Binding	0.975095434	0.315060191	0.959449941
Transcription Factor Binding	0.964229121	0.206993499	0.923954059
Transcription Factor Binding	0.976294526	0.272429239	0.930564787
Transcription Factor Binding	0.961031497	0.306842994	0.942893239
Transcription Factor Binding	0.979603515	0.381194589	0.94781746
Transcription Factor Binding	0.97537717	0.229092911	0.925470527
Transcription Factor Binding	0.928021856	0.204439738	0.866410816
Transcription Factor Binding	0.975636757	0.110592513	0.832604495
Transcription Factor Binding	0.966786429	0.384796034	0.969329477
Transcription Factor Binding	0.935336697	0.07380187	0.976363762
Transcription Factor Binding	0.976630576	0.073869308	0.930622945
Transcription Factor Binding	0.984311802	0.025808036	0.841870678
Transcription Factor Binding	0.986997593	0.688744263	0.90332809
Transcription Factor Binding	0.916261368	0.13496334	0.955181805
Transcription Factor Binding	0.976760398	0.140646882	0.906252494
Transcription Factor Binding	0.958712966	0.166973138	0.919914834
Transcription Factor Binding	0.919506374	0.096598901	0.930828516
Transcription Factor Binding	0.974021903	0.244522652	0.880352413
Transcription Factor Binding	0.986854136	0.391960391	0.976840438
Transcription Factor Binding	0.961922518	0.054620641	0.977225476
Transcription Factor Binding	0.975178306	0.026234957	0.935778981
Transcription Factor Binding	0.962088097	0.180580291	0.971827258
Transcription Factor Binding	0.976588526	0.048600709	0.985091776
Transcription Factor Binding	0.932905862	0.041499199	0.980028516
Transcription Factor Binding	0.962592202	0.164839947	0.977147099
Transcription Factor Binding	0.982583982	0.102450001	0.981341908
Transcription Factor Binding	0.966114183	0.045243723	0.976227244
Transcription Factor Binding	0.925838968	0.082182795	0.984751258
Transcription Factor Binding	0.976421507	0.223657641	0.978424037
Transcription Factor Binding	0.977223596	0.235104445	0.982347467
Transcription Factor Binding	0.92811946	0.110504419	0.976755291
Transcription Factor Binding	0.948550504	0.149341388	0.970113027
Transcription Factor Binding	0.98914988	0.079308719	0.973471753
Transcription Factor Binding	0.965961371	0.028515592	0.980540179
