NRE	0.21	0.27	0.37
Inactive	0.13	0.25	0.73
Inactive	0.3	0.41	0.36
NRE	0.31	0.41	0.35
Inactive	0.2	0.06	0.04
PRE	0.35	0.15	0.16
Inactive	0.19	0.06	0.04
Inactive	0.33	0.28	0.23
PRE	0.31	0.09	0.1
Inactive	0.47	0.1	0.29
Inactive	0.34	0.07	0.14
Inactive	0.38	0.12	0.2
Inactive	0.32	0.21	0.25
Inactive	0.17	0.24	0.37
Inactive	0.31	0.32	0.8
NRE	0.32	0.19	0.48
Inactive	0.17	0.08	0.08
Inactive	0.44	0.51	0.58
Inactive	0.27	0.38	0.37
Inactive	0.18	0.3	0.33
NRE	0.32	0.31	0.25
PRE	0.54	0.26	0.63
Inactive	0.34	0.27	0.14
Inactive	0.38	0.4	0.11
Inactive	0.33	0.45	0.22
Inactive	0.31	0.42	0.19
Inactive	0.4	0.46	0.24
Inactive	0.38	0.38	0.23
Inactive	0.3	0.35	0.18
Inactive	0.29	0.22	0.11
Inactive	0.22	0.26	0.08
Inactive	0.25	0.25	0.09
NRE	0.29	0.39	0.12
Inactive	0.32	0.28	0.09
NRE	0.29	0.39	0.17
Inactive	0.31	0.31	0.15
PRE	0.39	0.46	0.27
PRE	0.41	0.39	0.1
Inactive	0.61	0.71	0.71
Inactive	0.37	0.65	0.85
Inactive	0.34	0.42	0.51
Inactive	0.3	0.32	0.37
Inactive	0.24	0.3	0.31
Inactive	0.35	0.44	0.42
Inactive	0.21	0.14	0.08
PRE	0.22	0.26	0.16
Inactive	0.34	0.28	0.13
Inactive	0.46	0.41	0.41
Inactive	0.46	0.33	0.4
NRE	0.37	0.33	0.2
Inactive	0.3	0.04	0.03
Inactive	0.37	0.19	0.24
Inactive	0.41	0.32	0.5
NRE	0.42	0.34	0.19
Inactive	0.46	0.25	0.07
PRE	0.32	0.12	0.02
PRE	0.21	0.24	0.13
Inactive	0.26	0.2	0.12
PRE	0.35	0.33	0.24
NRE	0.36	0.32	0.37
Inactive	0.15	0.29	0.27
Inactive	0.22	0.14	0.12
Inactive	0.21	0.15	0.29
Inactive	0.19	0.1	0.16
NRE	0.27	0.17	0.06
Inactive	0.26	0.1	0.03
Inactive	0.22	0.09	0.06
NRE	0.38	0.08	0.03
Inactive	0.42	0.19	0.16
Inactive	0.31	0.17	0.08
Inactive	0.19	0.19	0.23
Inactive	0.28	0.38	0.22
PRE	0.28	0.46	0.44
Inactive	0.19	0.36	0.34
Inactive	0.34	0.39	0.61
Inactive	0.14	0.26	0.14
Inactive	0.26	0.3	0.23
Inactive	0.28	0.25	0.18
PRE	0.32	0.19	0.11
Inactive	0.32	0.2	0.15
Inactive	0.29	0.1	0.04
Inactive	0.34	0.2	0.13
Inactive	0.44	0.24	0.06
Inactive	0.3	0.37	0.14
Inactive	0.31	0.33	0.28
Inactive	0.25	0.26	0.28
Inactive	0.29	0.32	0.27
Inactive	0.33	0.19	0.04
Inactive	0.23	0.25	0.16
PRE	0.32	0.08	0.03
Inactive	0.43	0.17	0.24
Inactive	0.24	0.16	0.06
Inactive	0.12	0.15	0.02
Inactive	0.18	0.11	0.09
Inactive	0.23	0.14	0.16
PRE	0.39	0.12	0.05
Inactive	0.26	0.15	0.09
Inactive	0.25	0.25	0.19
Inactive	0.33	0.57	0.47
Inactive	0.28	0.31	0.27
Inactive	0.32	0.33	0.16
Inactive	0.29	0.29	0.11
NRE	0.38	0.12	0.04
Inactive	0.4	0.32	0.24
Inactive	0.16	0.11	0.02
PRE	0.23	0.13	0.08
Inactive	0.43	0.26	0.24
Inactive	0.16	0.14	0.09
Inactive	0.22	0.08	0.06
Inactive	0.34	0.18	0.12
Inactive	0.42	0.26	0.39
Inactive	0.32	0.1	0.02
Inactive	0.19	0.23	0.04
Inactive	0.37	0.63	0.76
Inactive	0.27	0.26	0.29
Inactive	0.3	0.08	0.05
NRE	0.2	0.2	0.13
NRE	0.42	0.29	0.55
Inactive	0.39	0.52	0.65
Inactive	0.41	0.51	0.57
PRE	0.39	0.48	0.46
PRE	0.28	0.44	0.24
PRE	0.28	0.46	0.23
PRE	0.43	0.6	0.25
Inactive	0.33	0.37	0.1
NRE	0.4	0.41	0.18
Inactive	0.4	0.1	0.04
NRE	0.37	0.24	0.06
Inactive	0.49	0.58	0.92
NRE	0.22	0.36	0.4
NRE	0.38	0.59	0.48
NRE	0.23	0.43	0.37
Inactive	0.34	0.25	0.79
Inactive	0.49	0.59	0.78
Inactive	0.44	0.58	0.78
Inactive	0.35	0.31	0.47
Inactive	0.36	0.33	0.39
Inactive	0.27	0.11	0.17
NRE	0.32	0.12	0.09
Inactive	0.4	0.14	0.06
NRE	0.31	0.29	0.05
Inactive	0.35	0.47	0.34
Inactive	0.24	0.53	0.42
Inactive	0.29	0.49	0.56
Inactive	0.54	0.65	0.63
Inactive	0.47	0.59	0.61
NRE	0.36	0.19	0.42
Inactive	0.31	0.12	0.3
Inactive	0.27	0.24	0.52
NRE	0.2	0.25	0.28
Inactive	0.23	0.41	0.88
Inactive	0.28	0.21	0.61
NRE	0.34	0.09	0.23
Inactive	0.36	0.3	0.6
Inactive	0.41	0.32	0.57
PRE	0.42	0.42	0.95
Inactive	0.35	0.24	0.7
Inactive	0.29	0.2	0.27
NRE	0.47	0.72	0.72
NRE	0.49	0.14	0.11
Inactive	0.51	0.37	0.53
Inactive	0.51	0.37	0.53
Inactive	0.35	0.14	0.03
Inactive	0.37	0.24	0.25
Inactive	0.38	0.31	0.14
Inactive	0.3	0.2	0.05
Inactive	0.17	0.28	0.25
Inactive	0.33	0.03	0.03
Inactive	0.24	0.04	0.0
Inactive	0.36	0.33	0.19
Inactive	0.24	0.26	0.22
Inactive	0.21	0.2	0.13
NRE	0.49	0.68	0.79
Inactive	0.38	0.2	0.07
Inactive	0.44	0.29	0.08
Inactive	0.37	0.33	0.21
Inactive	0.47	0.41	0.31
Inactive	0.35	0.38	0.19
Inactive	0.44	0.35	0.29
Inactive	0.34	0.25	0.24
Inactive	0.44	0.24	0.26
Inactive	0.31	0.3	0.18
Inactive	0.39	0.36	0.15
Inactive	0.37	0.38	0.19
Inactive	0.37	0.23	0.14
Inactive	0.39	0.29	0.16
Inactive	0.36	0.3	0.14
Inactive	0.24	0.21	0.2
Inactive	0.36	0.34	0.26
PRE	0.42	0.41	0.3
Inactive	0.34	0.15	0.21
PRE	0.28	0.3	0.55
Inactive	0.15	0.11	0.42
Inactive	0.44	0.35	0.53
Inactive	0.22	0.13	0.48
Inactive	0.3	0.09	0.28
NRE	0.35	0.14	0.17
Inactive	0.28	0.33	0.26
Inactive	0.29	0.25	0.29
Inactive	0.49	0.44	0.33
Inactive	0.34	0.22	0.06
Inactive	0.32	0.03	0.01
Inactive	0.3	0.34	0.15
Inactive	0.36	0.36	0.07
Inactive	0.47	0.48	0.11
Inactive	0.49	0.6	0.51
Inactive	0.38	0.44	0.37
